epoch,loss,lr
1,0.9688948685840025,0.001
2,0.892665828941232,0.001
3,0.8749533313310752,0.001
4,0.8553570806980133,0.001
5,0.8537133323439097,0.001
6,0.8344833189148014,0.001
7,0.8274181692276971,0.001
8,0.7993359138904992,0.001
9,0.7905656202869901,0.001
10,0.8025807899943853,0.001
11,0.7830073356123294,0.001
12,0.7647616865776353,0.001
13,0.7617044352878959,0.0009983093240383016
14,0.7528589875516245,0.0009932488451843476
15,0.7431887226589655,0.0009848531316399684
16,0.717200672222396,0.0009731795346418141
17,0.7186648651199826,0.0009583077966942535
18,0.6867065132927086,0.0009403395068472121
19,0.6900909265219155,0.0009193974067399517
20,0.6948947658983328,0.0008956245521512149
21,0.6801784284791704,0.0008691833357832002
22,0.6722550042352434,0.000840254377954742
23,0.6350378084738376,0.0008090352927813857
24,0.6358665260723082,0.0007757393382706013
25,0.6321554625943556,0.0007405939595533514
26,0.6356141304565688,0.00070383923520322
27,0.6205403847714602,0.0006657262372563184
28,0.5890343087583275,0.0006265153161346956
29,0.6035096198320389,0.0005864743221889632
30,0.5951949806284096,0.0005458767760088046
31,0.5718301077515392,0.000505
32,0.5626926153771958,0.00046412322399119553
33,0.5326241160095748,0.00042352567781103674
34,0.5161798430953995,0.00038348468386530457
35,0.5440057141674777,0.00034427376274368183
36,0.5260355366488635,0.0003061607647967802
37,0.5050946125539683,0.0002694060404466486
38,0.5070373876872709,0.00023039329133409258
39,0.5579263796493158,0.0009601662474129682
40,0.5488723166034384,0.0009509795896116975
41,0.5445103411073402,0.0009408947882690854
42,0.5669038472539287,0.0009299321528329238
43,0.5653191902122255,0.0009181137605920449
44,0.5522272084855427,0.000905463412215599
45,0.5419857637104342,0.0008920065838216748
46,0.5157458912265502,0.0008777703756717875
47,0.5297580698536615,0.0008627834575945588
48,0.5122702231599112,0.0008470760112484981
49,0.5081272142923484,0.0008306796693401577
50,0.5015753743759657,0.0008136274519200731
51,0.48957330493603723,0.0007959536998847742
52,0.4846992325984826,0.0007776940058187908
53,0.4785365464197377,0.0007588851423159236
54,0.4589233603012764,0.0007395649879241344
55,0.43628235262329296,0.0007197724508631912
56,0.46458334570466464,0.0006995473906686922
57,0.4425339963981661,0.0006789305379202647
58,0.431075408170789,0.000657963412215599
59,0.4147185829736419,0.0006366882385555042
60,0.4084607104502492,0.0006151478623083757
61,0.4278657274731135,0.0005933856629253252
62,0.4305906516768165,0.0005714454665797395
63,0.39021476257150456,0.0005493714579071996
64,0.4009146095585015,0.000527208091023505
65,0.39536710803286507,0.000505
66,0.39175733431416043,0.0004827919089764952
67,0.39794589844295536,0.0004606285420928005
68,0.3690123280857579,0.0004385545334202606
69,0.3961064220737603,0.0004166143370746749
70,0.37259984843559185,0.00039485213769162444
71,0.3517457906598762,0.000373311761444496
72,0.35465189764055155,0.0003520365877844011
73,0.3665694077893839,0.00033106946207973545
74,0.3458856290553586,0.000310452609331308
75,0.3367615554292323,0.0002902275491368088
76,0.3559878699607768,0.0002704350120758657
77,0.36361918156429873,0.00025111485768407647
78,0.3345460973174895,0.0002323059941812093
79,0.33223743635719105,0.00021404630011522585
80,0.314044606635126,0.00019637254807992693
81,0.30936737106008044,0.00017932033065984226
82,0.3182543919626939,0.000162923988751502
83,0.33041721992826056,0.00014721654240544123
84,0.326279790093333,0.00013222962432821262
85,0.3051950214904244,0.00011799341617832525
86,0.319818736890615,0.00010453658778440107
87,0.3097528380231332,9.188623940795519e-05
88,0.32378243737049023,8.006784716707628e-05
89,0.31455629855646927,6.91052117309147e-05
90,0.2994417419372979,5.902041038830258e-05
91,0.32406870913455044,4.983375258703197e-05
92,0.3242392684569803,4.1563739033330086e-05
93,0.3195219622072527,3.4227024433899005e-05
94,0.30701476575459463,2.7838383955552648e-05
95,0.29479364596180996,2.241068346999731e-05
96,0.3090618160569062,1.7954853643678315e-05
97,0.3002238633521533,1.4479867924872324e-05
98,0.31564664291375777,1.1992724472356661e-05
99,0.28992661656969687,1.0498432062049278e-05
100,0.2970521960218074,1e-05
